Sensor,Variant,Temp (C),Voltage (V),Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate,VN Min-Entropy (bits/bit)
B4,B,40,3.3,0.907101641303215,10000000,2498222,0.2498222,0.5000924657616497,187,188,0.9946808510638298,0.8953433594532219
B4,B,40,5.0,0.889024553197279,10000000,2500222,0.2500222,0.4998120166929177,186,188,0.9893617021276596,0.8557258378132572
B5,B,0,3.3,0.8887107776625447,10000000,2498370,0.249837,0.5000756493233588,185,188,0.9840425531914894,0.8987536807593378
B6,B,0,3.3,0.9098480206614937,10000000,2501378,0.2501378,0.5001415219930774,187,188,0.9946808510638298,0.8782990311428555
C1,C,0,3.3,0.931579392008835,10000000,2501542,0.2501542,0.4995370855256478,187,188,0.9946808510638298,0.8456170466363487
C2,C,0,3.3,0.8763926306705535,10000000,2502373,0.2502373,0.5001324742554367,187,188,0.9946808510638298,0.8792286374034634
C2,C,0,5.0,0.8992766353437976,10000000,2499527,0.2499527,0.4996229286581021,186,188,0.9893617021276596,0.8453597299472215
C2,C,24,3.3,0.9028657075124792,10000000,2499241,0.2499241,0.500081824842022,186,188,0.9893617021276596,0.8652607866537411
C2,C,24,5.0,0.9240617536904766,10000000,2497573,0.2497573,0.4994216385266817,160,162,0.9876543209876543,0.8460744980899365
C2,C,40,3.3,0.8999418242741933,10000000,2500945,0.2500945,0.5004472309467022,183,188,0.973404255319149,0.8738117124028282
C2,C,40,5.0,0.8997325975541156,10000000,2500171,0.2500171,0.5003041791941432,187,188,0.9946808510638298,0.8732065598582501
C3,C,0,3.3,0.9116999919685155,10000000,2497576,0.2497576,0.49969450379087565,187,188,0.9946808510638298,0.9218871655144929
C4,C,0,3.3,0.8756597256062576,10000000,2499528,0.2499528,0.500073613898304,187,188,0.9946808510638298,0.8644655170764279
C5,C,0,3.3,0.889054422168571,10000000,2500364,0.2500364,0.5001871727476479,187,188,0.9946808510638298,0.910044252848929
C6,C,0,3.3,0.9042736160562165,10000000,2500645,0.2500645,0.5007328109347788,187,188,0.9946808510638298,0.8776680555355796
